IBRA - Carteira do Dia 17/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,361;
TTEN3;3TENTOS;ON  ED  NM;112.343.586;0,064;
ABCB4;ABC BRASIL;PN      N2;67.562.128;0,056;
AERI3;AERIS;ON      NM;227.070.796;0,013;
AESB3;AES BRASIL;ON      NM;315.209.392;0,140;
ALSO3;ALIANSCSONAE;ON      NM;452.580.790;0,359;
AALR3;ALLIAR;ON      NM;42.015.455;0,042;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,091;
ALUP11;ALUPAR;UNT     N2;140.050.337;0,175;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,558;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,041;
ANIM3;ANIMA;ON      NM;256.780.519;0,043;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,213;
ARML3;ARMAC;ON      NM;172.214.221;0,101;
ASAI3;ASSAI;ON      NM;935.793.199;0,793;
AURE3;AUREN;ON      NM;301.966.318;0,204;
AZUL4;AZUL;PN      N2;327.646.296;0,117;
B3SA3;B3;ON      NM;5.901.731.302;2,992;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,085;
BRSR6;BANRISUL;PNB     N1;202.535.840;0,092;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,059;
BMOB3;BEMOBI TECH;ON      NM;83.721.218;0,056;
BLAU3;BLAU;ON      NM;29.837.192;0,039;
BOAS3;BOA VISTA;ON      NM;530.465.094;0,182;
BRPR3;BR PROPERT;ON      NM;175.439.087;0,047;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,822;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,223;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,327;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,685;
AGRO3;BRASILAGRO;ON      NM;59.212.546;0,070;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,240;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,325;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,169;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,199;
CAML3;CAMIL;ON      NM;100.468.497;0,035;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,353;
CBAV3;CBA;ON      NM;191.350.000;0,093;
CCRO3;CCR SA;ON      NM;998.462.635;0,493;
CEAB3;CEA MODAS;ON      NM;105.355.935;0,011;
CMIG3;CEMIG;ON      N1;360.768.393;0,258;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,703;
CIEL3;CIELO;ON      NM;1.095.401.258;0,261;
CLSA3;CLEARSALE;ON      NM;52.773.048;0,012;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,179;
CSMG3;COPASA;ON      NM;188.469.206;0,122;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,520;
CSAN3;COSAN;ON      NM;1.171.063.698;0,831;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,259;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,242;
CURY3;CURY S/A;ON      NM;120.291.325;0,068;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,046;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,181;
DASA3;DASA;ON      NM;71.844.589;0,036;
DXCO3;DEXCO;ON      NM;274.863.424;0,083;
PNVL3;DIMED;ON      NM;71.295.172;0,033;
DIRR3;DIRECIONAL;ON      NM;82.197.695;0,058;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,058;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;3,241;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,458;
EMBR3;EMBRAER;ON      NM;734.632.205;0,532;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,051;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,219;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,443;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,832;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,444;
ENJU3;ENJOEI;ON      NM;151.599.011;0,006;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,299;
ESPA3;ESPACOLASER;ON      NM;238.938.124;0,013;
EVEN3;EVEN;ON      NM;198.894.330;0,041;
EZTC3;EZTEC;ON      NM;94.318.339;0,055;
FHER3;FER HERINGER;ON      NM;15.626.962;0,012;
FESA4;FERBASA;PN      N1;40.495.100;0,106;
FLRY3;FLEURY;ON      NM;351.919.239;0,241;
GFSA3;GAFISA;ON      NM;60.097.088;0,023;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,406;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,378;
GOLL4;GOL;PN      N2;190.059.275;0,051;
GGPS3;GPS;ON      NM;381.125.678;0,202;
GRND3;GRENDENE;ON      NM;267.727.632;0,078;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,131;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,572;
SBFG3;GRUPO SBF;ON      NM;95.566.506;0,039;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,201;
GUAR3;GUARARAPES;ON      NM;81.934.660;0,016;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,019;
HBSA3;HIDROVIAS;ON      NM;760.109.566;0,066;
HYPE3;HYPERA;ON      NM;400.842.480;0,828;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,184;
PARD3;IHPARDINI;ON      NM;41.610.660;0,038;
MEAL3;IMC S/A;ON      NM;263.096.332;0,025;
IFCM3;INFRACOMM;ON      NM;290.327.826;0,025;
INTB3;INTELBRAS;ON      NM;114.530.513;0,151;
MYPK3;IOCHP-MAXION;ON      NM;131.266.899;0,066;
RANI3;IRANI;ON      NM;99.993.865;0,037;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,044;
ITUB3;ITAUUNIBANCO;ON      N1;384.272.066;0,391;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;5,773;
JALL3;JALLESMACHAD;ON      NM;99.892.997;0,034;
JBSS3;JBS;ON      NM;1.134.986.483;0,962;
JHSF3;JHSF PART;ON  ED  NM;299.019.330;0,064;
KEPL3;KEPLER WEBER;ON;89.295.802;0,086;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,616;
LAVV3;LAVVI;ON      NM;73.850.129;0,018;
LIGT3;LIGHT S/A;ON      NM;372.062.524;0,041;
RENT3;LOCALIZA;ON      NM;773.535.098;2,003;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,107;
LOGG3;LOG COM PROP;ON  ED  NM;59.529.517;0,042;
LOGN3;LOG-IN;ON      NM;25.678.035;0,039;
AMAR3;LOJAS MARISA;ON      NM;156.188.662;0,006;
LREN3;LOJAS RENNER;ON      NM;965.528.807;0,834;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,104;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,488;
POMO4;MARCOPOLO;PN      N2;554.935.063;0,078;
MRFG3;MARFRIG;ON      NM;316.724.584;0,095;
MATD3;MATER DEI;ON      NM;81.005.456;0,033;
CASH3;MELIUZ;ON      NM;657.970.941;0,028;
LEVE3;METAL LEVE;ON      NM;38.492.518;0,059;
MILS3;MILLS;ON      NM;179.572.360;0,085;
BEEF3;MINERVA;ON      NM;260.340.982;0,144;
MODL3;MODALMAIS;ON      NM;291.313.231;0,028;
MOVI3;MOVIDA;ON      NM;131.875.326;0,042;
MRVE3;MRV;ON      NM;305.668.749;0,088;
MLAS3;MULTILASER;ON      NM;450.398.188;0,053;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,292;
NEOE3;NEOENERGIA;ON      NM;196.252.888;0,127;
ODPV3;ODONTOPREV;ON      NM;245.618.209;0,142;
MEGA3;OMEGAENERGIA;ON      NM;280.500.324;0,108;
ONCO3;ONCOCLINICAS;ON      NM;149.164.399;0,053;
ORVR3;ORIZON;ON      NM;34.502.599;0,061;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,129;
PGMN3;PAGUE MENOS;ON      NM;161.415.760;0,027;
PETR3;PETROBRAS;ON      N2;3.701.760.571;4,975;
PETR4;PETROBRAS;PN      N2;4.566.441.248;5,466;
RECV3;PETRORECSA;ON      NM;276.436.573;0,367;
PRIO3;PETRORIO;ON      NM;847.470.875;1,521;
PETZ3;PETZ;ON      NM;335.724.569;0,101;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,221;
PTBL3;PORTOBELLO;ON      NM;54.516.127;0,018;
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,024;
QUAL3;QUALICORP;ON      NM;277.226.847;0,065;
LJQQ3;QUERO-QUERO;ON      NM;179.097.429;0,029;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,242;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,165;
RAPT4;RANDON PART;PN      N1;177.742.165;0,063;
RCSL3;RECRUSUL;ON;24.756.257;0,002;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,490;
ROMI3;ROMI;ON      NM;40.992.554;0,030;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;0,973;
SBSP3;SABESP;ON      NM;340.002.999;0,834;
SAPR11;SANEPAR;UNT     N2;201.081.484;0,155;
SANB11;SANTANDER BR;UNT;355.642.848;0,469;
STBP3;SANTOS BRP;ON      NM;858.685.799;0,295;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,177;
SEQL3;SEQUOIA LOG;ON      NM;122.858.774;0,014;
SEER3;SER EDUCA;ON      NM;52.472.207;0,009;
CSNA3;SID NACIONAL;ON;589.695.175;0,472;
SIMH3;SIMPAR;ON      NM;226.890.081;0,078;
SQIA3;SINQIA;ON      NM;71.791.033;0,055;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,220;
SMFT3;SMART FIT;ON      NM;258.804.766;0,193;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,548;
SYNE3;SYN PROP TEC;ON      NM;58.932.234;0,010;
TAEE11;TAESA;UNT     N2;218.568.234;0,349;
TASA4;TAURUS ARMAS;PN      N2;68.086.667;0,047;
TRAD3;TC;ON      NM;84.149.529;0,005;
VIVT3;TELEF BRASIL;ON;423.091.712;0,764;
TEND3;TENDA;ON      NM;95.672.515;0,019;
TIMS3;TIM;ON      NM;808.436.195;0,437;
TOTS3;TOTVS;ON      NM;520.749.110;0,662;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,391;
TRIS3;TRISUL;ON      NM;71.349.496;0,011;
TUPY3;TUPY;ON      NM;67.547.494;0,087;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,625;
UNIP6;UNIPAR;PNB;49.195.098;0,184;
USIM3;USIMINAS;ON      N1;161.021.703;0,055;
USIM5;USIMINAS;PNA     N1;515.014.562;0,167;
VALE3;VALE;ON      NM;4.547.296.398;18,080;
VLID3;VALID;ON      NM;79.254.979;0,032;
VAMO3;VAMOS;ON      NM;314.724.970;0,207;
VIIA3;VIA;ON      NM;1.576.975.642;0,161;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,774;
VIVA3;VIVARA S.A.;ON      NM;99.216.524;0,099;
VULC3;VULCABRAS;ON      NM;73.766.391;0,037;
WEGE3;WEG;ON      NM;1.481.593.024;2,561;
WIZC3;WIZ CO;ON      NM;75.275.228;0,023;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,111;
ZAMP3;ZAMP S.A.;ON      NM;270.582.179;0,060;
Quantidade Teórica Total;;;116.474.400.374;100,000
Redutor;;;515.771.586,40282449
