IBXX - Carteira do Dia 17/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
VIVT3;TELEF BRASIL;ON;423.091.712;0,812;
TIMS3;TIM;ON      NM;808.436.195;0,465;
TOTS3;TOTVS;ON      NM;520.749.110;0,704;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,415;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,665;
USIM5;USIMINAS;PNA     N1;515.014.562;0,178;
VALE3;VALE;ON      NM;4.547.296.398;19,228;
VAMO3;VAMOS;ON      NM;314.724.970;0,219;
VIIA3;VIA;ON      NM;1.576.975.642;0,171;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,823;
WEGE3;WEG;ON      NM;1.481.593.024;2,724;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,119;
Quantidade Teórica Total;;;102.019.815.921;100,000
Redutor;;;45.240.872,76881859
