IBXX - Carteira do Dia 22/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,373;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,283;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,099;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,765;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,230;
ASAI3;ASSAI;ON      NM;935.793.199;0,854;
AURE3;AUREN;ON      NM;301.966.318;0,216;
AZUL4;AZUL;PN      N2;327.646.296;0,122;
B3SA3;B3;ON      NM;5.901.731.302;3,108;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,092;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,140;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,880;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,432;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,348;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,905;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,254;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,352;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,218;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,380;
CBAV3;CBA;ON      NM;191.350.000;0,098;
CCRO3;CCR SA;ON      NM;998.462.635;0,523;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,753;
CIEL3;CIELO;ON      NM;1.095.401.258;0,272;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,191;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,558;
CSAN3;COSAN;ON      NM;1.171.063.698;0,870;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,279;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,260;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,048;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,193;
DXCO3;DEXCO;ON      NM;274.863.424;0,090;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,060;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;3,465;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,495;
EMBR3;EMBRAER;ON      NM;734.632.205;0,581;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,052;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,238;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,478;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,879;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,480;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,390;
EZTC3;EZTEC;ON      NM;94.318.339;0,058;
FLRY3;FLEURY;ON      NM;351.919.239;0,259;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,492;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,403;
GOLL4;GOL;PN      N2;190.059.275;0,053;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,141;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,604;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,220;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,083;
HYPE3;HYPERA;ON      NM;400.842.480;0,843;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,199;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,184;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;6,163;
JBSS3;JBS;ON      NM;1.134.986.483;1,014;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,646;
RENT3;LOCALIZA;ON      NM;773.535.098;2,131;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,111;
LREN3;LOJAS RENNER;ON      NM;965.528.807;0,905;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,111;
