IBXX - Carteira do Dia 22/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,502;
MRFG3;MARFRIG;ON      NM;316.724.584;0,100;
CASH3;MELIUZ;ON      NM;657.970.941;0,029;
BEEF3;MINERVA;ON      NM;260.340.982;0,153;
MOVI3;MOVIDA;ON      NM;131.875.326;0,044;
MRVE3;MRV;ON      NM;305.668.749;0,092;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,318;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,131;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,248;
PETR4;PETROBRAS;PN      N2;4.566.441.248;5,765;
RECV3;PETRORECSA;ON      NM;276.436.573;0,389;
PRIO3;PETRORIO;ON      NM;839.159.130;1,531;
PETZ3;PETZ;ON      NM;335.724.569;0,107;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,239;
QUAL3;QUALICORP;ON      NM;277.226.847;0,072;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,357;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,174;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,593;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,060;
SBSP3;SABESP;ON      NM;340.002.999;0,893;
SANB11;SANTANDER BR;UNT;355.642.848;0,504;
STBP3;SANTOS BRP;ON      NM;858.685.799;0,322;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,183;
CSNA3;SID NACIONAL;ON;589.695.175;0,490;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,236;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,630;
TAEE11;TAESA;UNT     N2;218.568.234;0,374;
VIVT3;TELEF BRASIL;ON;423.091.712;0,840;
TIMS3;TIM;ON      NM;808.436.195;0,471;
TOTS3;TOTVS;ON      NM;520.749.110;0,715;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,425;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,686;
USIM5;USIMINAS;PNA     N1;515.014.562;0,179;
VALE3;VALE;ON      NM;4.547.296.398;19,113;
VAMO3;VAMOS;ON      NM;314.724.970;0,220;
VIIA3;VIA;ON      NM;1.576.975.642;0,170;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,820;
WEGE3;WEG;ON  ED  NM;1.481.593.024;2,787;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,114;
Quantidade Teórica Total;;;102.019.815.921;100,000
Redutor;;;45.233.636,00900546
