IBOV - Carteira do Dia 22/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,406;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,308;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,108;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,004;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,250;
ASAI3;ASSAI;ON      NM;935.793.199;0,928;
AZUL4;AZUL;PN      N2;327.646.296;0,132;
B3SA3;B3;ON      NM;5.901.731.302;3,378;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,099;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,238;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,956;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,729;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,378;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,157;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,276;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,383;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,323;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,413;
CCRO3;CCR SA;ON      NM;998.462.635;0,568;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,819;
CIEL3;CIELO;ON      NM;1.095.401.258;0,295;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,208;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,606;
CSAN3;COSAN;ON      NM;1.171.063.698;0,945;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,303;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,283;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,053;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,210;
DXCO3;DEXCO;ON      NM;274.863.424;0,098;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,065;
ELET3;ELETROBRAS;ON      N1;1.871.213.500;3,485;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,538;
EMBR3;EMBRAER;ON      NM;734.632.205;0,631;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,258;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,519;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,955;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,522;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,510;
EZTC3;EZTEC;ON      NM;94.318.339;0,063;
FLRY3;FLEURY;ON      NM;351.919.239;0,281;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,622;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,438;
GOLL4;GOL;PN      N2;190.059.275;0,058;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,656;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,239;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,177;
HYPE3;HYPERA;ON      NM;400.842.480;0,916;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,216;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,373;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;6,697;
JBSS3;JBS;ON      NM;1.134.986.483;1,102;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,703;
RENT3;LOCALIZA;ON      NM;773.535.098;2,315;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,120;
LREN3;LOJAS RENNER;ON      NM;965.528.807;0,983;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,546;
MRFG3;MARFRIG;ON      NM;316.724.584;0,108;
CASH3;MELIUZ;ON      NM;657.970.941;0,031;
BEEF3;MINERVA;ON      NM;260.340.982;0,168;
MRVE3;MRV;ON      NM;305.668.749;0,100;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,346;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,143;
PETR3;PETROBRAS;ON      N2;3.484.913.747;5,368;
PETR4;PETROBRAS;PN      N2;4.566.441.248;6,264;
PRIO3;PETRORIO;ON      NM;839.159.130;1,664;
PETZ3;PETZ;ON      NM;335.724.569;0,116;
QUAL3;QUALICORP;ON      NM;277.226.847;0,078;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,475;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,188;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,731;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,152;
SBSP3;SABESP;ON      NM;340.002.999;0,971;
SANB11;SANTANDER BR;UNT;355.642.848;0,547;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,199;
CSNA3;SID NACIONAL;ON;589.695.175;0,532;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,256;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,771;
TAEE11;TAESA;UNT     N2;218.568.234;0,407;
VIVT3;TELEF BRASIL;ON;423.091.712;0,913;
TIMS3;TIM;ON      NM;808.436.195;0,512;
TOTS3;TOTVS;ON      NM;520.749.110;0,777;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,745;
USIM5;USIMINAS;PNA     N1;515.014.562;0,195;
VALE3;VALE;ON      NM;3.394.804.584;15,506;
VIIA3;VIA;ON      NM;1.576.975.642;0,185;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,891;
WEGE3;WEG;ON  ED  NM;1.318.583.017;2,695;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,124;
Quantidade Teórica Total;;;97.076.388.170;100,000
Redutor;;;17.653.268,08915838
