IBXL - Carteira do Dia 22/02/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,436;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,331;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,230;
ASAI3;ASSAI;ON      NM;935.793.199;0,998;
AZUL4;AZUL;PN      N2;327.646.296;0,142;
B3SA3;B3;ON      NM;5.901.731.302;3,632;
BBSE3;BBSEGURIDADE;ON  EDR NM;671.682.536;1,331;
BBDC4;BRADESCO;PN      N1;5.156.077.326;4,010;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,394;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,412;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,423;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,880;
CIEL3;CIELO;ON      NM;1.095.401.258;0,318;
CSAN3;COSAN;ON      NM;1.171.063.698;1,016;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,057;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,225;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;4,048;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,578;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,624;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,743;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,705;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,265;
HYPE3;HYPERA;ON      NM;400.842.480;0,986;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,552;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;7,200;
JBSS3;JBS;ON      NM;1.134.986.483;1,185;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,755;
RENT3;LOCALIZA;ON      NM;773.535.098;2,489;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,130;
LREN3;LOJAS RENNER;ON      NM;965.528.807;1,057;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,587;
MRFG3;MARFRIG;ON      NM;316.724.584;0,116;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,372;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,131;
PETR4;PETROBRAS;PN      N2;4.566.441.248;6,735;
PRIO3;PETRORIO;ON      NM;839.159.130;1,789;
PETZ3;PETZ;ON      NM;335.724.569;0,125;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,585;
RDOR3;REDE D OR;ON      NM;1.149.694.340;1,861;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,238;
SBSP3;SABESP;ON      NM;340.002.999;1,044;
CSNA3;SID NACIONAL;ON;589.695.175;0,572;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,904;
TOTS3;TOTVS;ON      NM;520.749.110;0,835;
USIM5;USIMINAS;PNA     N1;515.014.562;0,209;
VALE3;VALE;ON      NM;4.547.296.398;22,331;
VIIA3;VIA;ON      NM;1.576.975.642;0,199;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,958;
WEGE3;WEG;ON  ED  NM;1.481.593.024;3,257;
Quantidade Teórica Total;;;77.976.385.571;100,000
Redutor;;;97.402.663,71536591
